head,tail,relation,context
流行性感冒,呼吸道感染,诱发-急性加重,嗽主要包括急性上呼吸道感染 ( 包括普通感冒、年月日在中华中医药学会、世界中医药学会流行性感冒、急性咽喉炎、鼻炎、副鼻窦炎等)联合会于武汉举办的肺系病学术...
呼吸衰竭,细菌感染,诱发-急性加重,阻肺急性加重患者合并细菌感染时最常见的临床 中西医结合治疗急性呼吸衰竭可能有助于提高总证候，针对痰热壅肺证患者，在西医规范治疗基础...
支气管扩张,抗感染,诱发-急性加重,初始经验性抗感染药物的选择推荐参考 行调整[] 对于合并肺炎或支气管扩张症的AECOPD 。
糖尿病,吸烟史,诱发-急性加重,...括年≥.mmol/L量异常，即口服 葡萄糖负荷后 血糖 龄、吸烟史、慢阻肺家族遗传倾向、低出生体重、儿gh ≥即可诊断 型糖尿病，并不要求患者一 童时期下呼吸道感染、特应性，甚至出现某些呼...
肺结核,LABA联合LAMA,诱发-急性加重,感染或近期有肺结核感染的患者，应谨慎使用LABA+LAMA长效 受体激动剂（ ， ［ ］。
肺结核,激动剂,诱发-急性加重,感染或近期有肺结核感染的患者，应谨慎使用LABA+LAMA长效 受体激动剂（ ， ［ ］。
心力衰竭,空气污染,诱发-急性加重,...：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症
肺栓塞,吸烟,诱发-急性加重,...施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或
肺栓塞,空气污染,诱发-急性加重,...：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症
慢性支气管炎,生物制剂,诱发-急性加重,...A+ICS ICS出院早期的 患者，仍处于急性加 （ 且患有慢性支气管炎）或阿奇霉素（既AECOPD FEV<%重 稳定期的过渡期，易出现病情反复、诱发心血管 往吸烟患者），也可尝试生物制剂。
呼吸衰竭,抗感染,诱发-急性加重,推荐意见：对慢阻肺急性加重期合并呼吸衰竭且推荐意见：对于慢阻肺急性加重期合并呼吸衰竭， 存在有创机械通气指征，兼咳嗽、憋喘、心慌、面色苍兼发热、咳嗽、咯痰不利、舌红、苔黄的患者，在间断 白、四肢冰冷、
呼吸衰竭,呼吸道感染,诱发-急性加重,呼吸衰竭的血气诊断标准为海平面呼气体接触史;有家族聚集倾向;多于中年以后发病，好发于秋 吸空气时动脉血氧分压(PaO ) ＜mmHg(mmHg≈.冬寒冷季节，常有反复呼吸道感染及急性加重史。
肺功能,慢性咳嗽,检查-评估-症状,第 秒用力呼气容积 依据上述肺功能分级和对症状及急性加重风GOLD FEV表慢性阻塞性肺疾病（...
肺功能,咳痰,检查-评估-症状,"...D AECOPD 、 、床表现 即患者呼吸困难 咳嗽和 或 咳痰等主 稳定期肺功能与既往 综合研判, 、 ( ) ABG、 AECOPD诉症状..."
肺功能,呼吸困难,检查-评估-症状,...ed respiratory disease and）问卷和肺功能问卷（ 压力定量吸入气雾剂时可以加用储雾罐协助，可显著提exacerbation risk lung function 高药物在
肺功能,头痛,检查-评估-症状,"...is,March,Vol.,No.更好的持续扩张小气道，改善肺功能和呼吸 头痛、头晕。"
肺功能,头晕,检查-评估-症状,"...is,March,Vol.,No.更好的持续扩张小气道，改善肺功能和呼吸 头痛、头晕。"
呼吸频率,呼吸困难,检查-评估-症状,...者呼吸性酸中毒，降低 、PaCO机械通气策略有助于早日撤机［呼吸频率、呼吸困难程度，缩短住院时间，减少病死（四）出院、访视及预防率和气管插...
CT,头痛,检查-评估-症状,证据概述：项RCT研究（例）[] 提示与对照推荐依据：疏风解毒胶囊功擅疏风清热，解毒利咽， 组相比，联合痰热清注射液可缩短咳嗽、咳痰时间（MD联合使用可有效缓解慢阻肺患者发热，咳嗽，头痛，咽 -.，%
心电图,慢性咳嗽,检查-评估-症状,...感性高症见咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮...
心电图,咳痰,检查-评估-症状,血浆 二聚体敏感性高症见咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮...
心电图,流清涕,检查-评估-症状,...感性高症见咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。
心电图,头痛,检查-评估-症状,...感性高症见咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。
心电图,脉浮,检查-评估-症状,...感性高症见咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。
心电图,呼吸困难,检查-评估-症状,"...伤都会增加患者死亡风险[]因此示糖皮质激素治疗反应性好[] 心电图异常或呼吸困难比 预期更严重AECOPD文献报道在除外合并哮喘后,%~%应..."
血气分析,中成药,检查-评估-症状,纳入以上文献困难、发热等）、病死率、血气分析 （动脉血氧分压 中提及的中成药。
呼吸频率,中成药,检查-评估-症状,中成药：外感风热初期发热无汗咽痛， 氧饱和度，降低心率、呼吸频率［-］。
肺功能,气虚,检查-评估-症状,肺肾气虚证 于改善慢阻肺稳定期患者的焦虑、抑郁状态有较好疗效，但候中成药予百令胶囊［-，-］治疗可延缓肺功能下降( 推荐 目前文献证据质量相对较低，或是文献量偏少，甚至...
肺功能,中成药,检查-评估-症状,...虚证 于改善慢阻肺稳定期患者的焦虑、抑郁状态有较好疗效，但候中成药予百令胶囊［-，-］治疗可延缓肺功能下降( 推荐 目前文献证据质量相对较低，或是文献量偏少，甚至...
CT,气虚,检查-评估-症状,...慢阻肺 证据概述：项随机、安慰剂对照、多中心、双盲稳定期肺肾气虚证GOLD~级患者周，较对照组 RCT（例）[]报道了黄龙咳喘胶囊治疗慢阻肺稳定期可改善喘息（MD...
CT,中成药,检查-评估-症状,C级证据）年版《中国药典》，在《中成药治疗慢性阻塞性肺证据概述：项RCT研究（例）[]表明与对照 疾病临床应用指南（年）》[]中推荐...
CT,胸闷,检查-评估-症状,...推荐依据：润肺膏功效润肺益气，止咳化痰，可缓 证据概述：项RCT（例）[]报道了补中益解慢阻肺稳定期患者胸闷、咳嗽咳痰、气喘出汗等症状。
CT,腹泻,检查-评估-症状,证据概述：项RCT研究（例）[]报道了百安全性：纳入的项研究中，项[]研究（例） 令胶囊联合异丙托溴胺气雾剂治疗慢阻肺稳定期GOLD报告了联合使用补中益气汤周的不良反应，包括口级肺肾气虚证患者个月，较
CT,流清涕,检查-评估-症状,推荐依据：RCT研究显示，选择联合太极拳、八段 推荐意见：对于慢阻肺急性加重期咳嗽，喘息，锦、穴位贴敷、温针灸治疗可显著改善患者呼吸困难症 恶寒，发热，痰白，流清涕，肢体酸痛，舌苔薄白的患者，状和（或
CT,肢体酸痛,检查-评估-症状,推荐依据：RCT研究显示，选择联合太极拳、八段 推荐意见：对于慢阻肺急性加重期咳嗽，喘息，锦、穴位贴敷、温针灸治疗可显著改善患者呼吸困难症 恶寒，发热，痰白，流清涕，肢体酸痛，舌苔薄白的患者，状和（或
CT,腹胀,检查-评估-症状,...注射液辅助治疗慢阻肺急性加重期合并Ⅱ型呼吸衰 证据概述：项RCT研究（例）[]显示较对竭、经无创呼吸机通气及呼吸兴奋剂治疗无效并具备气 照组，联合加味凉膈散能够改善患者的腹胀证候评分管插管指征的
线胸片,慢性咳嗽,药物-缓解-症状,...查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型，有助于变应病因，如支气管结石、复发性多软骨炎、支气管异 性疾病［如变应性鼻炎和变应性咳嗽（
线胸片,咳痰,药物-缓解-症状,线胸片对确定肺部并 对有慢性咳嗽或咳痰、呼吸困难、反复下呼吸发症及与其他疾病（如肺间质纤维化、肺结...
线胸片,呼吸困难,药物-缓解-症状,线胸片对确定肺部并 对有慢性咳嗽或咳痰、呼吸困难、反复下呼吸发症及与其他疾病（如肺间质纤维化、肺结核等）鉴道...
支气管舒张剂,呼吸困难,药物-缓解-症状,"...评估：慢阻肺急性加重可分为..
会 （ ， 轻度（仅需要短效支气管舒张剂治疗）、中度［使用modified British medical research council）呼吸困难问卷［ ］（"
长效β2受体激动剂,头痛,药物-缓解-症状,"...h,Vol.,No.更好的持续扩张小气道，改善肺功能和呼吸 头痛、头晕。"
长效β2受体激动剂,头晕,药物-缓解-症状,"...ol.,No.更好的持续扩张小气道，改善肺功能和呼吸 头痛、头晕。"
长效β2受体激动剂,呼吸困难,药物-缓解-症状,在以减少急性加重为治疗目标的随访路径中， 无论是以改善呼吸困难还是控制急性加重为呼吸困难 急性加重LAMA LABA LA...
LABA联合LAMA,慢性咳嗽,药物-缓解-症状,...虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时基肺肾两虚证：咳嗽、痰白质...
吸入药物,慢性咳嗽,药物-缓解-症状,...D治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，...
长效毒蕈碱拮抗剂,呼吸困难,药物-缓解-症状,在以减少急性加重为治疗目标的随访路径中， 无论是以改善呼吸困难还是控制急性加重为呼吸困难 急性加重LAMA LABA LA...
LABA联合LAMA,呼吸困难,药物-缓解-症状,一些患者如果既往用LABA+ICS能吸入技术及依从性 中药治疗 启动管理体力活动和运动 非药物治疗 戒烟 够控制呼吸困难和急性加重，仍然可以继续用，但需要进行呼吸康复 接种疫苗自我...
ICS联合LABA,呼吸困难,药物-缓解-症状,...虑 LABALAMA+LABA D CAT>EOS≥/μl ICS+LABA+三联治疗，尤其是重度或以上气流受限者 治疗后发生急性加重LAMA LAMA+LABA图慢性阻塞性肺疾病稳定期初始治疗
吸入性糖皮质激素,呼吸困难,药物-缓解-症状,在以减少急性加重为治疗目标的随访路径中， 无论是以改善呼吸困难还是控制急性加重为呼吸困难 急性加重LAMA LABA LA...
糖皮质激素,呼吸困难,药物-缓解-症状,上 随访和家庭护理计划安排妥当 如随访基 气管舒张剂 吸入糖皮质激素对改善呼吸困难症状;() ( 、层社区医师家庭医疗等与肺功能减少急性加重有...
抗菌药物,呼吸困难,药物-缓解-症状,"...
或社区支持不足 有抗菌治疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合"
吸入性糖皮质激素,慢性咳嗽,药物-缓解-症状,表中西医联合防治慢性阻塞性肺疾病临床应用指南推荐意见摘要分期/合并症 目的 适用人群 证候 西医基础治疗 推荐意见 推荐...
第一代抗组胺药物,慢性咳嗽,药物-缓解-症状,推荐由第一代抗组胺药物、减充 亚急性咳嗽最常见的原因是 ，其次为‑C PICfmx...
镇咳药物,慢性咳嗽,药物-缓解-症状,...e of Chest Physicians ACCP菌药物和镇咳药物，收效甚微并产生诸多不良反 洲呼吸学会（ ， ）等Europ...
口服抗菌药物,慢性咳嗽,药物-缓解-症状,"...inJGenPract March,Vol.,No.考虑给予口服抗菌药物。"
激动剂,慢性咳嗽,药物-缓解-症状,...力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...
激动剂,喘息,药物-缓解-症状,...舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒
减充血剂,慢性咳嗽,药物-缓解-症状,（）减充血剂与抗组胺药：减充血剂与第一 外证据表明，抗菌药物治疗对急性气...
黏液溶解剂,慢性咳嗽,药物-缓解-症状,是炎症刺激上呼吸道咳嗽感受器所致，指南建议用 （）祛痰剂及黏液溶解剂等（如羧甲司坦 ，mg替代 ［］。
羧甲司坦,慢性咳嗽,药物-缓解-症状,...吸道咳嗽感受器所致，指南建议用 （）祛痰剂及黏液溶解剂等（如羧甲司坦 ，mg替代 ［］。
受体阻断剂,慢性咳嗽,药物-缓解-症状,... 颈椎病、肝海绵状血管瘤、迷走神经球瘤、乳糜泻、舌异丙酚、 受体阻断剂、来氟米特、辛伐他汀、 干下异位甲状腺、外耳道耵聍、胸膜子宫...
长效β2受体激动剂,慢性咳嗽,药物-缓解-症状,...重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...
长效毒蕈碱拮抗剂,慢性咳嗽,药物-缓解-症状,次或次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 m...
抗菌药物,慢性咳嗽,药物-缓解-症状,...对口服. ICS疗 周以上，初期可短期口服小剂量糖皮质激素 抗菌药物治疗无反应，或口服抗菌药物治疗失败时（ ）［ ， （］ ）。
促胃动力药,慢性咳嗽,药物-缓解-症状,动力药：促胃动力药对缓解 相关症状可能有GERD诊断标准：（）慢性咳嗽，以白天咳嗽常见， 效，建议对于 患者，可在抑酸基础上联用促...
中枢性镇咳药,慢性咳嗽,药物-缓解-症状,中枢性镇咳药是指作用于延· · 中华全科医师杂志 年 月第 卷第 期 ，...
线胸片,流清涕,药物-缓解-症状,...咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。
线胸片,头痛,药物-缓解-症状,...咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。
线胸片,脉浮,药物-缓解-症状,...咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。
支气管舒张剂,慢性咳嗽,药物-缓解-症状,...推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组...
短效β2受体激动剂,呼吸困难,药物-缓解-症状,LABAh SABA持续扩张小气道、改善肺功能和呼吸困难症状，可 当外周血 水平较高时，急性加重高风险EOS作为有明...
吸入性糖皮质激素,心动过速,药物-缓解-症状,...独使用 不能阻止 的/d ICS FEV不良反应：总体而言，吸入性 受体激动剂的 降低趋势，也不能改变慢阻肺患者的病死率，因此不良反应远低于口服剂型，相对常见的不良反应有 不推荐稳定期慢阻肺患者
激动剂,心动过速,药物-缓解-症状,...阻止 的/d ICS FEV不良反应：总体而言，吸入性 受体激动剂的 降低趋势，也不能改变慢阻肺患者的病死率，因此不良反应远低于口服剂型，相对常见的不良反应有 不推荐稳定期慢阻肺患者单用 治疗，
糖皮质激素,心动过速,药物-缓解-症状,...反应有 不推荐稳定期慢阻肺患者单用 治疗，也不推荐ICS窦性心动过速、肌肉震颤（通常为手颤），不常见的 长期口服糖皮质激素。
抗胆碱能药物,慢性咳嗽,药物-缓解-症状,... 联合小青龙汤 弱推荐 专家共识闷，痰稀薄、量多，易咯出，效抗胆碱能药物）作为急性恶寒，舌苔白滑 加重的初始支气管舒张剂治疗；
激动剂,中成药,药物-缓解-症状,干 预 措 施为此，在《中成药治疗优势病种临床应用指南》 （intervention/indicator，I）：中成药单独使用或联合标准化项目的委托下，中国中药协会肺病药物研究专 西医治疗（如长效胆碱
糖皮质激素,中成药,药物-缓解-症状,干 预 措 施为此，在《中成药治疗优势病种临床应用指南》 （intervention/indicator，I）：中成药单独使用或联合标准化项目的委托下，中国中药协会肺病药物研究专 西医治疗（如长效胆碱
线胸片,变应性咳嗽,药物-缓解-症状,...支气管结石、复发性多软骨炎、支气管异 性疾病［如变应性鼻炎和变应性咳嗽（ ，atopiccough物、早期间质性肺疾病等， 线胸片不易发现此类 ）］的诊断。
减充血剂,喘息,药物-缓解-症状,...病因治疗： 非变应性鼻炎以及普通感冒： 主要临床表现，无明显喘息、气促等症状，但存在气推荐首选口服第一代抗组胺药和减充血剂治 道高反应性。
糖皮质激素,喘息,药物-缓解-症状,鼻用糖皮质激素包括糠酸莫米松、丙酸氟 分典型哮喘患者虽有一过性喘息症状，但持续性咳地卡松和布地奈德鼻喷剂等。
抑酸药物,慢性咳嗽,药物-缓解-症状,（）抑酸药物：推荐抑.%~% GERC者可伴反酸、胸骨后烧灼感及嗳气等典...
他汀类药物,慢性咳嗽,药物-缓解-症状,他汀类药物［ ］、甘露醇吸入也可能有助‑在社区流行病学调查中，慢性支气管炎是常 于支气管扩张症治疗，但不推荐常规临床应见疾病，然而在专科门诊诊治的慢性咳嗽患者中， 用［ ］（ ）。
支气管舒张剂,肺脾气虚,药物-缓解-症状,...推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以L...
支气管舒张剂,喘息,药物-缓解-症状,...推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时
支气管舒张剂,乏力,药物-缓解-症状,次或次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动
支气管舒张剂,自汗,药物-缓解-症状,次或次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动
长效毒蕈碱拮抗剂,肺脾气虚,药物-缓解-症状,...次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分...
长效毒蕈碱拮抗剂,喘息,药物-缓解-症状,...舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，...
长效毒蕈碱拮抗剂,乏力,药物-缓解-症状,...为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激...
长效毒蕈碱拮抗剂,自汗,药物-缓解-症状,...， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，...
长效β2受体激动剂,肺脾气虚,药物-缓解-症状,...次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，
长效β2受体激动剂,喘息,药物-缓解-症状,...舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒
长效β2受体激动剂,乏力,药物-缓解-症状,...为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...
长效β2受体激动剂,自汗,药物-缓解-症状,...， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...
长效β2受体激动剂,腹胀,药物-缓解-症状,...重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便溏，舌体胖大或EOS=嗜酸粒细胞计数，ICS=吸入性糖皮
激动剂,肺脾气虚,药物-缓解-症状,...次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，
激动剂,乏力,药物-缓解-症状,...为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...
激动剂,自汗,药物-缓解-症状,...， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...
激动剂,腹胀,药物-缓解-症状,...力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便溏，舌体胖大或EOS=嗜酸粒细胞计数，ICS=吸入性糖皮...
长效毒蕈碱拮抗剂,腹胀,药物-缓解-症状,...体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便溏，舌体胖大或EOS=嗜酸粒细胞计数，ICS=吸入性糖皮...
吸入性糖皮质激素,乏力,药物-缓解-症状,...为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便溏，舌
吸入性糖皮质激素,自汗,药物-缓解-症状,...， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便溏，舌体胖大
吸入性糖皮质激素,腹胀,药物-缓解-症状,...体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便溏，舌体胖大或EOS=嗜酸粒细胞计数，ICS=吸入性糖皮质激素。
苏子降气丸,中成药,药物-缓解-症状,"...治疗，根据患者情况推荐合适的中医康复疗 加减[-,]，或选用中成药苏子降气丸[,]、苓桂咳喘法，具有较好的安全性（证据级别：低证据质量；"
苏子降气丸,咳痰,药物-缓解-症状,中成药：吸气促，胸部胀闷，咳痰稀薄色白，常伴鼻塞，流清涕， 苏子降气丸、蛤蚧定喘胶囊/丸等。
苏子降气丸,流清涕,药物-缓解-症状,中成药：吸气促，胸部胀闷，咳痰稀薄色白，常伴鼻塞，流清涕， 苏子降气丸、蛤蚧定喘胶囊/丸等。
抗菌药物,喘息,药物-缓解-症状,② 中度：使用短效支气..肺肾气阴两虚证 ① 喘息、气短，动则加管舒张剂联合抗菌药物，或/和口服糖皮质激素；
抗菌药物,意识障碍,药物-缓解-症状,... 性加重 基层医疗机构无必需的医疗设备 技术诊患者 应在开始抗菌药物治疗前留取合 治 患者意识状态改变 如出现嗜睡 谵妄或AEC...
羧甲司坦,呼吸困难,药物-缓解-症状,...护理计划安排妥当 如随访基 气管舒张剂 吸入糖皮质激素对改善呼吸困难症状;() ( 、层社区医师家庭医疗等与肺功能减少急性加重有益[]口服乙酰半患者出院时 应该已明确制定了有 胱氨酸 羧甲司坦等
支气管舒张剂,气虚,药物-缓解-症状,...荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考GOLD治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒
联合制剂,气虚,药物-缓解-症状,...在多项指南[，，]中推荐用于慢阻肺稳定期（肺素与支气管舒张剂联合制剂、化痰剂等，能缓解临床症 脾气虚）的治疗。
长效毒蕈碱拮抗剂,气虚,药物-缓解-症状,根据患者急性加重可治疗特征升级治疗方案为 气虚证患者治疗个月可显著降低年内急性加重次数LAMA+LABA或...
长效β2受体激动剂,气虚,药物-缓解-症状,根据患者急性加重可治疗特征升级治疗方案为 气虚证患者治疗个月可显著降低年内急性加重次数LAMA+LABA或...
吸入性糖皮质激素,气虚,药物-缓解-症状,根据患者急性加重可治疗特征升级治疗方案为 气虚证患者治疗个月可显著降低年内急性加重次数LAMA+LABA或...
吸入性糖皮质激素,喘息,药物-缓解-症状,...质稀，于EOS水平指导ICS的联 联合固肾定喘丸 弱推荐 D喘息、活动后加重，腰膝酸痛 合治疗；
吸入药物,气虚,药物-缓解-症状,...荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考GOLD治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒
吸入药物,肺脾气虚,药物-缓解-症状,...D治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以L...
吸入药物,喘息,药物-缓解-症状,...D治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴
LABA联合LAMA,气虚,药物-缓解-症状,...荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考GOLD治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒
LABA联合LAMA,肺脾气虚,药物-缓解-症状,...患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时基肺肾两虚证：
LABA联合LAMA,喘息,药物-缓解-症状,...虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时基肺肾两虚证：咳嗽、痰白质稀，于EOS水平指导ICS的联 联合固肾定喘丸 弱推荐
吸入性糖皮质激素,肺脾气虚,药物-缓解-症状,...患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以L...
抗胆碱能药物,喘息,药物-缓解-症状,（）将短效吸入性 β受外寒内饮证：咳嗽，喘息，胸 体激动剂（联合或不联合短 联合小青龙汤 弱推荐 专家共识闷，痰稀薄、量多，易咯出，效抗胆碱能药物）作为急性恶寒，舌苔白滑 加重的初始支气管舒张剂治疗；
吸烟,心血管疾病,危险因素-疾病,对于暂时没有戒烟意愿的吸烟者采取慢阻肺合并症的评估：在对慢阻肺患者进行 “ ”干预措施增强其戒烟动机，“ ”包括： 相关.RR ①病情严重程度的综合评估时，还应注意患者的各种 （ ）：使吸烟者认识到戒
慢性阻塞性肺疾病,吸烟,危险因素-疾病,...施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物...
