关系类型	头实体	尾实体	头类型	尾类型	头原文	尾原文	文献编号	匹配类型	精简上下文	审核状态	修改建议	备注	_source
治疗-改善-症状	健脾	喘息	Treatment	Symptom	健脾	喘息	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	...，在西医常规治疗基础上，中迷) ;) 肢体瘛疭甚则抽搐;) 喘息气促;) 喉中痰 医辨证治疗方案( 肺脾气虚证用补肺健脾方，肺肾气鸣;) 舌质淡或红、舌苔白腻或黄腻，或脉滑或数。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
治疗-改善-症状	健脾	慢性咳嗽	Treatment	Symptom	健脾	咳嗽	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	... 三联药物（ICS/LABA/LAMA）联合使用丹龙口服液较健脾益气的功效，可改善慢阻肺患者咳嗽痰多、色白黏 对照组，可改善...	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur
治疗-改善-症状	健脾	咳痰	Treatment	Symptom	健脾	咳痰	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	推荐依据：固肾定喘丸功效温肾纳气、健脾化用法用量：玉屏风颗粒，口服，每次g，每日 痰，可缓解慢阻肺稳定期患者喘息气短、咳嗽咳痰、腰次。	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur
治疗-改善-症状	补肺	腹泻	Treatment	Symptom	补肺	腹泻	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	干、腹泻、恶心、心悸，治疗组与对照组比较差异无统 用法用量：保元汤合人参补肺汤（人参g 黄芪g计学意义（RR.，%CI：.~.）。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
诱发-急性加重	补肺	呼吸困难	Treatment	Symptom	补肺	呼吸困难	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...评估的基础上，可考虑更换吸入装置或药RCT研究[]报告，联合补肺活血胶囊治疗例慢阻 物、升级药物治疗方案至LAMA+LABA、实施或升级非肺合并肺动脉高压患者周，记录不良反应包括血氧 药物治疗措施，检查有无其他原因引起的呼吸困难。	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur
诱发-急性加重	活血	呼吸困难	Treatment	Symptom	活血	呼吸困难	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...的基础上，可考虑更换吸入装置或药RCT研究[]报告，联合补肺活血胶囊治疗例慢阻 物、升级药物治疗方案至LAMA+LABA、实施或升级非肺合并肺动脉高压患者周，记录不良反应包括血氧 药物治疗措施，检查有无其他原因引起的呼吸困难。	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur
检查-评估-症状	CT	胸闷	Examination	Symptom	CT	胸闷	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...推荐依据：润肺膏功效润肺益气，止咳化痰，可缓 证据概述：项RCT（例）[]报道了补中益解慢阻肺稳定期患者胸闷、咳嗽咳痰、气喘出汗等症状。	待审核		由相关细化为检查-评估-症状（类型组合规则）	cooccur
检查-评估-症状	CT	腹泻	Examination	Symptom	CT	腹泻	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	证据概述：项RCT研究（例）[]报道了百安全性：纳入的项研究中，项[]研究（例） 令胶囊联合异丙托溴胺气雾剂治疗慢阻肺稳定期GOLD报告了联合使用补中益气汤周的不良反应，包括口级肺肾气虚证患者个月，较对照组显著提高MWT干、腹泻、恶心、心悸，治疗组与对照组比较，差异无 水平（MD.，%C...	待审核		由相关细化为检查-评估-症状（类型组合规则）	cooccur
治疗-改善-症状	补肺	乏力	Treatment	Symptom	补肺	乏力	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...：补中益气汤具有补中益气、升阳举陷的 推荐依据：百令胶囊功效补肺肾，益精气，可改善功效，可通过培补脾胃、滋养气血肌肉，改善慢阻肺患 肺肾亏虚导致的运动不耐受，神疲乏力，腰膝酸软等症者运动不耐受。	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur
治疗-改善-症状	肺康复	喘息	Treatment	Symptom	肺康复	喘息	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	B级证据）肾定喘丸联合沙美特罗替卡松及肺康复训练治疗慢阻肺 证据概述：项随机、安慰剂对照、多中心、双盲稳定期肺肾气虚证GOLD~级患者周，较对照组 RCT（例）[]报道了黄龙咳喘胶囊治疗慢阻肺稳定期可改善喘息（MD -.，%CI：-.~-.）、气短 肺肾气虚、痰热郁肺...	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur
治疗-改善-症状	补肺	头晕	Treatment	Symptom	补肺	头晕	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...：纳入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉屏风颗粒组治疗周观察不良反血氧饱和度下降、胃肠道症状，与对照组比较，差异无 应包括牙龈炎、牙痛、头晕、急性加重，两组比较差异无统计学意义（P>.）。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
治疗-改善-症状	活血	头晕	Treatment	Symptom	活血	头晕	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉屏风颗粒组治疗周观察不良反血氧饱和度下降、胃肠道症状，与对照组比较，差异无 应包括牙龈炎、牙痛、头晕、急性加重，两组比较差异无统计学意义（P>.）。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
药物-缓解-症状	长效毒蕈碱拮抗剂	气虚	Medication	Symptom	LAMA	气虚	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	根据患者急性加重可治疗特征升级治疗方案为 气虚证患者治疗个月可显著降低年内急性加重次数LAMA+LABA或...	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
药物-缓解-症状	长效β2受体激动剂	气虚	Medication	Symptom	LABA	气虚	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	根据患者急性加重可治疗特征升级治疗方案为 气虚证患者治疗个月可显著降低年内急性加重次数LAMA+LABA或...	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
药物-缓解-症状	吸入性糖皮质激素	气虚	Medication	Symptom	ICS	气虚	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	根据患者急性加重可治疗特征升级治疗方案为 气虚证患者治疗个月可显著降低年内急性加重次数LAMA+LABA或...	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
药物-缓解-症状	吸入性糖皮质激素	喘息	Medication	Symptom	ICS	喘息	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...质稀，于EOS水平指导ICS的联 联合固肾定喘丸 弱推荐 D喘息、活动后加重，腰膝酸痛 合治疗；	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
检查-评估-症状	CT	流清涕	Examination	Symptom	CT	流清涕	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	推荐依据：RCT研究显示，选择联合太极拳、八段 推荐意见：对于慢阻肺急性加重期咳嗽，喘息，锦、穴位贴敷、温针灸治疗可显著改善患者呼吸困难症 恶寒，发热，痰白，流清涕，肢体酸痛，舌苔薄白的患者，状和（或）运动耐量。	待审核		由相关细化为检查-评估-症状（类型组合规则）	cooccur
检查-评估-症状	CT	肢体酸痛	Examination	Symptom	CT	肢体酸痛	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	推荐依据：RCT研究显示，选择联合太极拳、八段 推荐意见：对于慢阻肺急性加重期咳嗽，喘息，锦、穴位贴敷、温针灸治疗可显著改善患者呼吸困难症 恶寒，发热，痰白，流清涕，肢体酸痛，舌苔薄白的患者，状和（或）运动耐量。	待审核		由相关细化为检查-评估-症状（类型组合规则）	cooccur
疾病-症状	慢性阻塞性肺疾病	风寒袭肺	Disease	Symptom	COPD	风寒袭肺	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	...·呼吸系统疾病分册辨证论治(版) 》 COPD急性加重期常见风寒袭肺、外寒内饮、痰《中华人民共和国药典(年版) 》 热壅肺、痰浊阻肺、痰蒙神窍等证［-］，稳定期常见《慢性阻塞性肺疾病中医证候诊断标准(肺气虚、肺脾气虚、肺肾气虚、肺肾气阴两虚等...	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur
治疗-改善-症状	宣肺止咳	风寒袭肺	Treatment	Symptom	宣肺止咳	风寒袭肺证	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	宣肺止咳的功效，联合使用可改善慢阻肺风寒袭肺证使用方法：使用方法见表。	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur
疾病-症状	肺炎	喘息	Disease	Symptom	肺炎	喘息	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...联合清金化痰汤治疗例老年社推荐意见：对于慢阻肺急性加重期出现喘息气 区获得性肺炎患者~日，其中项研究（例）促，神志恍惚，肢体瘛疭甚则抽搐，嗜...	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur
疾病-症状	呼吸衰竭	头晕	Disease	Symptom	呼吸衰竭	头晕	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	反应例，包括恶心、皮疹、呕吐、头晕、局部疼痛、GOLD[] 提出对于存在急性呼吸衰竭的慢阻 其他。	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur
治疗-改善-症状	无创通气	慢性咳嗽	Treatment	Symptom	无创通气	咳嗽	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...气，需要注意经 推荐依据：痰热清注射液功擅清热、化痰、解毒，无创通气初始治疗失败而接受有创通气的患者，其并发 联合使用改善慢阻肺...	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur
治疗-改善-症状	无创通气	咳痰	Treatment	Symptom	无创通气	咳痰	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...气，需要注意经 推荐依据：痰热清注射液功擅清热、化痰、解毒，无创通气初始治疗失败而接受有创通气的患者，其并发 联合使用改善慢阻肺急性加重期患者咳嗽咳痰等症状，症更多、住院时间更长、病死率更高，应用机械通气的 改...	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur
疾病-症状	呼吸衰竭	慢性咳嗽	Disease	Symptom	呼吸衰竭	咳嗽	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	推荐意见：对慢阻肺急性加重期合并呼吸衰竭且推荐意见：对于慢阻肺急性加重期合并呼吸衰竭， 存在有创机械...	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur
检查-评估-症状	CT	腹胀	Examination	Symptom	CT	腹胀	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...注射液辅助治疗慢阻肺急性加重期合并Ⅱ型呼吸衰 证据概述：项RCT研究（例）[]显示较对竭、经无创呼吸机通气及呼吸兴奋剂治疗无效并具备气 照组，联合加味凉膈散能够改善患者的腹胀证候评分管插管指征的患者较对照组，可以有效减少有创机械通 （...	待审核		由相关细化为检查-评估-症状（类型组合规则）	cooccur
药物-缓解-症状	吸入药物	气虚	Medication	Symptom	吸入药物	气虚	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考GOLD治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，...	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
药物-缓解-症状	吸入药物	肺脾气虚	Medication	Symptom	吸入药物	肺脾气虚证	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...D治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以L...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	吸入药物	喘息	Medication	Symptom	吸入药物	喘息	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...D治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时基肺肾两虚证：咳嗽、痰白质稀，于EOS水平指导ICS的联 联合固肾定喘丸 弱推荐 D喘息、活动后加重，腰膝酸痛 合治疗；	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	LABA联合LAMA	气虚	Medication	Symptom	LABA+LAMA	气虚	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考GOLD治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时基肺肾两虚证：咳嗽、痰白质...	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
药物-缓解-症状	LABA联合LAMA	肺脾气虚	Medication	Symptom	LABA+LAMA	肺脾气虚证	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时基肺肾两虚证：咳嗽、痰白质...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	LABA联合LAMA	喘息	Medication	Symptom	LABA+LAMA	喘息	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时基肺肾两虚证：咳嗽、痰白质稀，于EOS水平指导ICS的联 联合固肾定喘丸 弱推荐 D喘息、活动后加重，腰膝酸痛 合治疗；	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	吸入性糖皮质激素	肺脾气虚	Medication	Symptom	ICS	肺脾气虚证	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以L...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	抗胆碱能药物	喘息	Medication	Symptom	抗胆碱能药物	喘息	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	（）将短效吸入性 β受外寒内饮证：咳嗽，喘息，胸 体激动剂（联合或不联合短 联合小青龙汤 弱推荐 专家共识闷，痰稀薄、量多，易咯出，效抗胆碱能药物）作为急性恶寒，舌苔白滑 加重的初始支气管舒张剂治疗；	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
治疗-改善-症状	活血	肢体酸痛	Treatment	Symptom	活血	肢体酸痛	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	...郁化热，烦躁口渴、口苦者，减桂枝，加急性加重期以清热、涤痰、活血、宣肺降气、开窍而立 生石膏g( 先煎) 、黄芩g、桑白皮g;肢体酸痛法，兼顾气阴。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
治疗-改善-症状	活血	中成药	Treatment	Symptom	活血	中成药	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	级别: D; 推荐强度: 强推荐使用) : 党参g、黄芪 中成药: 肺肾气虚兼血瘀者，可选补肺活血胶g、白术g、茯苓g、杏仁g、川贝母g、地龙 囊［-］( 证...	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
治疗-改善-症状	补肺	喘息	Treatment	Symptom	补肺	喘息	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	...，在西医常规治疗基础上，中迷) ;) 肢体瘛疭甚则抽搐;) 喘息气促;) 喉中痰 医辨证治疗方案( 肺脾气虚证用补肺健脾方，肺肾气鸣;) 舌质淡或红、舌苔白腻或黄腻，或脉滑或数...	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
治疗-改善-症状	补肺	意识障碍	Treatment	Symptom	补肺	嗜睡	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	...搐;) 喘息气促;) 喉中痰 医辨证治疗方案( 肺脾气虚证用补肺健脾方，肺肾气鸣;) 舌质淡或红、舌苔白腻或黄腻，或脉滑或数...	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
治疗-改善-症状	健脾	意识障碍	Treatment	Symptom	健脾	嗜睡	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	...) 喘息气促;) 喉中痰 医辨证治疗方案( 肺脾气虚证用补肺健脾方，肺肾气鸣;) 舌质淡或红、舌苔白腻或黄腻，或脉滑或数。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
治疗-改善-症状	益肾	呼吸困难	Treatment	Symptom	益肾	呼吸困难	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	次症: 喉中痰 证用补肺益肾方) 能够减少患者急性加重次数，改善鸣，肢体瘛疭甚则抽搐，舌质暗红、绛、紫，脉滑、 肺功能和呼吸困难程度，改善临床症状，提高运动耐数［］。	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur
治疗-改善-症状	健脾	头晕	Treatment	Symptom	健脾	头晕	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	此证亦可选用补肺健脾方［-］( 证据级别 B; 头晕;) 干咳或少痰、咯痰不爽;) 盗汗;) 手足心推荐强度:弱...	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
诱发-急性加重	戒烟	中成药	Treatment	Symptom	戒烟	中成药	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	物的排出;鼓励患者咳嗽、排痰、戒烟、预防感冒及呼中成药:) 生脉饮口服液( 证据级别: D; 推荐强 吸道感染;在...	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur
治疗-改善-症状	益肾	祛邪	Treatment	Symptom	益肾	祛邪	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	...为主，以实证为次，故治疗以补益为主如补益肺气、补肺健脾、补肺益肾等，佐以祛邪如 克虎、詹思延、胡镜清、张俊华、陈薇、廖星、宇文亚。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
疾病-症状	右心衰竭	意识障碍	Disease	Symptom	右心衰竭	意识障碍	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	cooccur	可见球结膜水肿，严重者可出现意识障碍;伴有右心衰竭者符号、代号与缩略语 可见下肢水肿和肝脏增大。	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur
治疗-改善-症状	补肺	腹胀	Treatment	Symptom	补肺	腹胀	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	cooccur	治疗可改善患者咳嗽、咯痰、气短、纳少、腹胀症状( 推荐强 补肺汤处方出处为元·李仲南《永类钤方》。	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur
疾病-症状	支气管哮喘	气虚	Disease	Symptom	哮喘	气虚	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	cooccur	临床用于感冒后咳嗽，咳嗽反复发作及咳嗽变异型哮喘 肺气虚证候慢阻肺中成药予玉屏风颗粒( 胶囊、散)［-］治符合上述证...	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur
疾病-症状	支气管哮喘	中成药	Disease	Symptom	哮喘	中成药	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	cooccur	...于感冒后咳嗽，咳嗽反复发作及咳嗽变异型哮喘 肺气虚证候慢阻肺中成药予玉屏风颗粒( 胶囊、散)［-］治符合上述证候者。	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur
治疗-改善-症状	健脾	中成药	Treatment	Symptom	健脾	中成药	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	cooccur	不良反应:偶见恶心、呕吐、胃 虚证候慢阻肺中成药予人参健脾丸［］治疗可提高MWD部不适、便秘、咽干。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
治疗-改善-症状	活血	失眠	Treatment	Symptom	活血	失眠	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	cooccur	适应症:益气活血，补仁;失眠者加远志、龙骨、牡蛎;腹泻者去肉苁蓉、熟地黄加车 肺固肾。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
治疗-改善-症状	活血	腹泻	Treatment	Symptom	活血	腹泻	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	cooccur	适应症:益气活血，补仁;失眠者加远志、龙骨、牡蛎;腹泻者去肉苁蓉、熟地黄加车 肺固肾。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
疾病-症状	呼吸衰竭	咳痰	Disease	Symptom	呼吸衰竭	咳痰	8_【参考】创新药盘点系列报告-慢性阻塞性肺病治疗领域迎来新机制、新疗法.txt	cooccur	COPD患者常面临持续性咳嗽、咳痰、呼吸困难等症状，严重损伤患者的肺部，容易造成肺功能受损甚至呼吸衰竭。	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur
疾病-症状	心力衰竭	头晕	Disease	Symptom	心力衰竭	头晕	8_【参考】创新药盘点系列报告-慢性阻塞性肺病治疗领域迎来新机制、新疗法.txt	cooccur	LABA常见不良反应包括窦性心律过速、肌肉震颤、头晕和头疼，罕见不良反应包括心律失常、异常支气管痉挛以及心力衰竭人群的氧耗增加，与利尿剂等药物存在相互作用等；	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur
危险因素-疾病	慢性阻塞性肺疾病	吸烟	Disease	RiskFactor	慢阻肺	吸烟	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	explicit	...施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物...	待审核		方向规范化：尾实体是Disease，反转方向（原吸烟→慢性阻塞性肺疾病）	explicit
危险因素-疾病	慢性阻塞性肺疾病	呼吸道感染	Disease	RiskFactor	慢阻肺	呼吸道感染	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	explicit	...时等慢性疾病管理的临床经验，邀请多位慢阻肺专家 期反复发生下呼吸道感染、中重度吸烟、长期粉尘组成慢阻肺中西医结合管理专家共识写作组...	待审核		方向规范化：尾实体是Disease，反转方向（原呼吸道感染→慢性阻塞性肺疾病）	explicit
危险因素-疾病	慢性阻塞性肺疾病	细菌感染	Disease	RiskFactor	慢性阻塞性肺疾病	细菌感染	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	发病和加剧的重要因素，病毒和（或）细菌感染是慢引用本文：中华医学会呼吸病学分会慢性阻塞性肺疾病学组 中国医师协会呼吸医师分会慢性阻塞性肺疾病工作委员会 慢...	待审核		方向规范化：尾实体是Disease，反转方向（原细菌感染→慢性阻塞性肺疾病）	explicit
危险因素-疾病	支气管哮喘	呼吸道感染	Disease	RiskFactor	哮喘	呼吸道感染	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	...吸矛盾运动，部分患者在呼吸困难加史、结核病史［ ］、儿童时期呼吸道感染［ ］及呼吸道 重时采用缩唇呼吸方式和（或）前倾体位；	待审核		方向规范化：尾实体是Disease，反转方向（原呼吸道感染→支气管哮喘）	explicit
检查-辅助诊断-疾病	慢性阻塞性肺疾病	肺功能	Disease	Examination	慢阻肺	肺功能	7_【参考】疾病治疗专题研究-COPD 领域出现新突破.txt	explicit	...目 一级医院 二级医院 慢阻肺诊断改进空间 医生（N=）简易肺功能仪.%.% 患者不重视，未及时就诊%大肺功能仪 -.% 患者...	待审核		方向规范化：尾实体是Disease，反转方向（原肺功能→慢性阻塞性肺疾病）	explicit
检查-辅助诊断-疾病	慢性阻塞性肺疾病	CT	Disease	Examination	慢阻肺	CT	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	必要时行胸部 检查CT肺栓塞 临床可能性评估（咯血、外科 低氧血症与慢阻肺的严重程...	待审核		方向规范化：尾实体是Disease，反转方向（原CT→慢性阻塞性肺疾病）	explicit
检查-辅助诊断-疾病	呼吸衰竭	肺功能	Disease	Examination	呼吸衰竭	肺功能	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	肺功能检查 a（）脉搏氧饱和度（ ）监测和动脉血气分析：当SpO患者临床症状提示有呼吸衰竭或右心衰竭时应监使用支气管舒张剂后 使用支气管舒张剂后测 。	待审核		方向规范化：尾实体是Disease，反转方向（原肺功能→呼吸衰竭）	explicit
检查-辅助诊断-疾病	右心衰竭	肺功能	Disease	Examination	右心衰竭	肺功能	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	肺功能检查 a（）脉搏氧饱和度（ ）监测和动脉血气分析：当SpO患者临床症状提示有呼吸衰竭或右心衰竭时应监使用支气管舒张剂后 使用支气管舒张剂后测 。	待审核		方向规范化：尾实体是Disease，反转方向（原肺功能→右心衰竭）	explicit
检查-辅助诊断-疾病	慢性阻塞性肺疾病	血气分析	Disease	Examination	慢阻肺	血气分析	23_面向全科医生的《慢性阻塞性肺疾病诊治指南（2021年修订版）》解读.txt	explicit	...以上医院在确定治疗和管理方 FEV ）测定、检测血氧饱和度和血气分析以评估患案后，应到基层医疗机构接受长期管理。	待审核		方向规范化：尾实体是Disease，反转方向（原血气分析→慢性阻塞性肺疾病）	explicit
检查-辅助诊断-疾病	慢性阻塞性肺疾病	心电图	Disease	Examination	COPD	心电图	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	explicit	AECOPD ,心电图学评价 患者常见心电图 病原菌 铜绿假单胞菌 或其他革兰阴性...	待审核		方向规范化：尾实体是Disease，反转方向（原心电图→慢性阻塞性肺疾病）	explicit
